gid,name,state_fips,place_fips,pop,land_area_sqmi,density,direct_gen_exp_pc,property_tax_pc,core_infra_exp_pc,consolidated_govt,region,median_household_income,median_home_value,total_households,total_occupied_housing_units,owner_occupied_housing_units,total_units_by_structure,units_1detached,units_1attached,median_real_estate_taxes_paid,home_value_per_sqmi,income_per_sqmi,effective_tax_rate_pct,tax_burden_pct_of_income,spending_per_sqmi,pct_single_family_detached,pct_single_family_all
362061194805,NEW YORK CITY,36,51000,8253213,300.457,27468.87,13744.92,3587.55,1582.03,1,Northeast,76607.0,732100.0,3282804.0,3282804.0,1081125.0,3620774.0,334284.0,257616.0,6121.0,2436.6215465108153,837010840.2466909,0.8360879661248464,7.990131450128579,377557362.37784445,9.232390643547484,16.347333470688863
062075161258,SAN FRANCISCO CITY AND COUNTY,06,67000,866606,46.7,18556.87,16144.45,3430.59,2508.24,1,West,136689.0,1348700.0,360842.0,360842.0,139117.0,408198.0,75332.0,48367.0,8835.0,28880.085653104925,1056169853.0620984,0.6550752576555201,6.463577903123148,299590518.98715204,18.454769499115624,30.303676157159025
252025128108,BOSTON CITY,25,07000,691531,48.34,14305.56,7428.96,4146.55,1609.93,0,Northeast,89212.0,684900.0,276053.0,276053.0,96186.0,304079.0,36534.0,18673.0,4101.0,14168.390566818369,509458838.1464625,0.5987735435830048,4.596915213200018,106275468.30285478,12.014640932126191,18.155479332673416
122086194757,MIAMI CITY,12,45000,471525,35.996,13099.37,2741.53,1113.19,1321.83,0,South,54858.0,433900.0,186137.0,186137.0,56069.0,214820.0,51346.0,18703.0,3870.0,12054.117124124901,283673284.42049116,0.8919105784743029,7.054577272230121,35912321.73713746,23.90187133414021,32.608230146168886
172031162236,CHICAGO CITY,17,14000,2677643,227.748,11757.04,3985.2,1250.36,1250.35,0,Midwest,71673.0,304500.0,1129908.0,1129908.0,515235.0,1258704.0,325853.0,44619.0,4720.0,1337.0040571157597,355585542.2835766,1.5500821018062398,6.585464540342946,46854167.25327995,25.88797683967001,29.432813433499852
422101133602,PHILADELPHIA CITY,42,60000,1578487,134.356,11748.54,5747.03,458.24,1378.46,0,Northeast,57537.0,215500.0,659129.0,659129.0,344149.0,730630.0,61159.0,417343.0,1863.0,1603.9477209800827,282267299.3613981,0.8645011600928074,3.2379164711403097,67519218.66987704,8.370721158452294,65.49169894474632
112001124214,WASHINGTON DC CITY,11,50000,712816,61.126,11661.42,26074.73,4160.09,2944.11,1,South,101722.0,705000.0,315785.0,315785.0,130865.0,350372.0,40269.0,78369.0,3957.0,11533.553643294179,525509304.87844783,0.5612765957446808,3.8900139596154224,304068395.44023824,11.493212927973696,33.860582466635464
532033184255,SEATTLE CITY,53,63000,769714,84.0,9163.26,3790.64,989.54,1719.88,0,West,116068.0,879900.0,345246.0,345246.0,153477.0,372436.0,144289.0,20943.0,6751.0,10475.0,477047770.5714286,0.7672462779861348,5.8164179618844125,34734627.10666667,38.741958349890986,44.365206371027504
062037161173,LONG BEACH CITY,06,43000,454681,50.672,8973.02,4728.47,499.39,1452.24,0,West,78995.0,709700.0,170174.0,170174.0,69167.0,180015.0,73092.0,7625.0,4606.0,14005.762551310389,265292373.1054626,0.6490066225165563,5.830748781568453,42428668.06263815,40.603283059745024,44.83904119101186
062037161174,LOS ANGELES CITY,06,44000,3970219,470.517,8437.99,3332.06,659.32,1572.76,0,West,76244.0,822600.0,1399442.0,1399442.0,512444.0,1518992.0,558974.0,85374.0,5433.0,1748.289647345367,226769820.9586476,0.6604668125455871,7.125806620848854,28115897.876463547,36.79900881637296,42.41944658036382
272053193551,MINNEAPOLIS CITY,27,43000,433111,54.0,8020.57,2779.08,822.19,1521.68,0,Midwest,76332.0,328700.0,185674.0,185674.0,89348.0,198971.0,81275.0,7550.0,3960.0,6087.037037037037,262460514.2222222,1.2047459689686644,5.1878635434680085,22289816.997777775,40.847661216961264,44.64218403686969
062001123093,OAKLAND CITY,06,53000,424891,55.963,7592.36,3963.56,1101.73,1708.09,0,West,94389.0,883800.0,170282.0,170282.0,71633.0,184530.0,77032.0,9189.0,7353.0,15792.577238532602,287203110.94830513,0.8319755600814664,7.790102660267616,30092757.213873453,41.74497371701079,46.72465181813255
242510208246,BALTIMORE CITY,24,04000,586131,80.946,7241.01,7929.53,1810.5,2292.79,0,South,58349.0,202900.0,247232.0,247232.0,118072.0,293555.0,43013.0,148631.0,3065.0,2506.6093445012725,178214364.73698515,1.5105963528831936,5.252874942158392,57417826.062189616,14.652450137112297,65.28384800122635
552079136562,MILWAUKEE CITY,55,53000,589067,96.173,6125.08,2068.59,614.83,1229.16,0,Midwest,49733.0,157800.0,230759.0,230759.0,94975.0,257441.0,101335.0,10724.0,3454.0,1640.7931540037225,119330137.8453412,2.1888466413181242,6.945086763316108,12670272.379254052,39.36241701982202,43.528031665507825
062085100745,SAN JOSE CITY,06,68000,1013616,177.939,5696.42,2311.35,705.02,1325.6,0,West,136010.0,1149600.0,324842.0,324842.0,181299.0,340392.0,174935.0,38884.0,8654.0,6460.641006187514,248297227.81402618,0.7527835768963118,6.362767443570326,13166429.740529059,51.39221838351077,62.81551857857999
062067161241,SACRAMENTO CITY,06,64000,512838,98.646,5198.77,2992.53,413.42,1257.55,0,West,78954.0,450500.0,196524.0,196524.0,99642.0,206808.0,122319.0,14648.0,3429.0,4566.834945157431,157293310.38258013,0.7611542730299667,4.343035185044457,15557479.270725626,59.14616455843101,66.22906270550462
412051211254,PORTLAND CITY,41,59000,656751,133.488,4919.93,2642.28,1105.99,1385.68,0,West,85876.0,523100.0,283896.0,283896.0,151284.0,301084.0,161295.0,14770.0,5183.0,3918.70430300851,182637037.75620282,0.9908239342381954,6.035446457683171,12999820.450377563,53.57142857142857,58.47703630880419
082031194647,DENVER CITY AND COUNTY,08,20000,735538,153.074,4805.11,5908.52,733.98,1261.61,1,West,85853.0,540400.0,322964.0,322964.0,159483.0,344760.0,145215.0,28839.0,2447.0,3530.3186694017268,181137412.57169732,0.45281273131014066,2.850220726124888,28391111.38246861,42.120605638705186,50.485555168813086
262163166817,DETROIT CITY,26,22000,665369,138.735,4795.97,3151.01,508.43,1438.1,0,Midwest,37761.0,66700.0,249518.0,249518.0,121734.0,323368.0,210617.0,22242.0,1363.0,480.7726961473312,67914002.94085847,2.0434782608695654,3.609544238764863,15112151.747504234,65.13229509413424,72.01052670641498
322003169988,LAS VEGAS CITY,32,40000,662368,141.862,4669.1,1300.52,246.65,546.33,0,West,66356.0,365300.0,240462.0,240462.0,131837.0,260767.0,162604.0,12839.0,1909.0,2575.037712706715,112476184.40456219,0.5225841773884479,2.876906383748267,6072259.17694661,62.356049653522106,67.2796020968911
062019189636,FRESNO CITY,06,27000,530267,115.818,4578.45,1613.41,291.95,935.66,0,West,63001.0,321800.0,177757.0,177757.0,85485.0,186461.0,114915.0,5556.0,2488.0,2778.4972974839834,96693681.09447582,0.7731510254816656,3.9491436643862796,7386918.099690895,61.62950965617475,64.60922123124944
062073207598,SAN DIEGO CITY,06,66000,1422420,326.087,4362.09,3061.26,477.64,1397.44,0,West,98657.0,783300.0,515475.0,515475.0,245323.0,552285.0,241392.0,54754.0,5345.0,2402.119679717376,155955978.2358696,0.6823694625303205,5.417760523835105,13353483.730415506,43.70786822021239,53.621952433978834
482439194811,ARLINGTON CITY,48,04000,398864,95.842,4161.68,1245.32,429.31,724.5,0,South,71736.0,251300.0,137519.0,137519.0,75484.0,147492.0,89410.0,9197.0,4435.0,2622.0237474176247,102930479.16362347,1.7648229208117787,6.182390989182558,5182626.786586256,60.620237029805004,66.85582946871695
392049209050,COLUMBUS CITY,39,18000,903852,220.725,4094.92,2163.62,67.44,1197.19,0,Midwest,62994.0,212500.0,382140.0,382140.0,170936.0,414823.0,187513.0,40913.0,3041.0,962.736436742553,109061171.86544342,1.4310588235294117,4.827443883544465,8859858.485626912,45.20313483100021,55.06589557473911
482113187649,DALLAS CITY,48,19000,1343266,339.676,3954.55,2887.05,932.8,1205.83,0,South,63985.0,270700.0,521147.0,521147.0,218575.0,578996.0,243944.0,21282.0,4528.0,796.9359036258081,98168816.15127356,1.6727004063538973,7.076658591857466,11416985.908041783,42.1322427097942,45.807915771438836
132121194678,ATLANTA CITY,13,04000,512550,135.253,3789.56,2348.66,1033.7,1024.77,0,South,77655.0,395600.0,227388.0,227388.0,103831.0,255220.0,93117.0,14475.0,3702.0,2924.888911891049,130553962.86958516,0.935793731041456,4.767239714120147,8900399.126082232,36.484993339080006,42.15657080166131
042013100250,MESA CITY,04,46000,528159,141.384,3735.63,1499.02,98.32,1077.07,0,West,73766.0,327700.0,193316.0,193316.0,122099.0,219909.0,120857.0,12762.0,1491.0,2317.8011656198723,100861116.22248629,0.45498931949954224,2.0212564053900173,5599791.377949415,54.95773251663188,60.76104206740061
482201176169,HOUSTON CITY,48,35000,2316120,640.606,3615.51,2045.12,693.06,900.72,0,South,60440.0,235000.0,897510.0,897510.0,376562.0,1006392.0,437508.0,48273.0,3763.0,366.8401482346403,84678420.74535674,1.6012765957446808,6.226009265387161,7394160.1146414485,43.47292108840293,48.26956096630339
122057161633,TAMPA CITY,12,71000,407599,113.638,3586.82,3027.23,591.93,1471.34,0,South,66802.0,333200.0,157066.0,157066.0,79321.0,172995.0,88909.0,11470.0,2585.0,2932.1177775040037,92331112.23358384,0.7758103241296519,3.8696446214185203,10858127.745736461,51.39397092401514,58.0242203531894
312055208698,OMAHA CITY,31,37000,478393,142.98,3345.87,1606.84,423.01,978.68,0,Midwest,70202.0,210300.0,197842.0,197842.0,114534.0,210493.0,133882.0,8322.0,3641.0,1470.8350818296267,97138789.22926284,1.7313361864003805,5.186461924161705,5376283.45307036,63.60401533542683,67.55759098877397
042013207536,PHOENIX CITY,04,55000,1708127,518.331,3295.44,1597.18,169.4,751.86,0,West,72092.0,340200.0,591169.0,591169.0,333631.0,633863.0,378891.0,29647.0,1729.0,656.337359718018,82222663.79591419,0.5082304526748971,2.398324363313544,5263405.588050879,59.77490404077853,64.45209769303462
372183171305,RALEIGH CITY,37,55000,474414,149.447,3174.46,1745.28,614.88,858.56,0,South,78631.0,347000.0,189830.0,189830.0,97018.0,211412.0,93645.0,29332.0,2763.0,2321.893380261899,99878369.78995898,0.7962536023054755,3.5138812936373696,5540327.112086559,44.29502582634855,58.16935651713242
482029175988,SAN ANTONIO CITY,48,65000,1567118,498.922,3141.01,1755.4,411.45,927.88,0,South,59593.0,198000.0,542817.0,542817.0,281930.0,594026.0,353762.0,14104.0,3730.0,396.85562071826854,64835973.320478946,1.8838383838383839,6.259124393804641,5513725.466505786,59.55328554642389,61.92759239494568
482453176394,AUSTIN CITY,48,05000,995484,326.365,3050.22,2800.45,941.6,1255.49,0,South,86556.0,461500.0,423079.0,423079.0,188029.0,449452.0,199657.0,23441.0,7320.0,1414.0609440350527,112205738.74036738,1.5861321776814734,8.456952724247886,8541979.586659107,44.422318734814844,49.63778112011961
